Department of General Services - Procurement Division (DGS-PD),,,,,,,,,,,,,
STATE CONTRACTS INDEX LISTING,,,,,,,,,,,,,
The State Contracts Index Listing identifies current Leveraged Procurement Agreements (LPAs). Questions? Contact the Contract Administrator or PDWebmaster@dgs.ca.gov,,,,,,,,,,,,,
"To access individual LPA contract documents and User Instructions, click the direct link in the next cell or go to Cal eProcure (Contract Search): ",,,,,,Cal eProcure (State Contracts Search),,,,,,,
Blank cells indicate no applicable data. Click on contract type acronym in table for definition.,,,,,,,,,,,,,
LAST UPDATED: 12/15/2022,,,,,,,,,,,,,
"Contract Type  
(DGS use only)",Commodity/Service Description,Contract Number,Contractor Name,Contract Start Date,Contract End Date,Extensions Possible (Yes/No),"Mandatory 
(Yes/No)","State Users (Statewide/
Dept Use Only)",Open to Local Agencies  (Yes/No),State Contract Administrator,Phone,"Environmentally Preferable Purchasing
(EPP) Compliant
(Click link to access Buying Green website)","Rebid Information
(Click link to access solicitation)"
CMAS,Please use the CMAS Search,Blank,,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
SC,"Airplane, Fixed Wing, Turbine",1-20-15-15,"CNC Technologies, LLC",4/3/2020,4/2/2025,Yes,CHP Only,Nationwide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"Ammunition, New Factory Loaded",1-21-13-02A,"San Diego Police Equipment Co., Inc. ",11/23/2021,11/22/2024,Yes,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Ammunition, New Factory Loaded",1-21-13-02B,"Dooley Enterprises, Inc.",11/23/2021,11/22/2024,Yes,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 1 Area 1 Only",1-22-56-20-01A,"Eagle Rock, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 1 Area 2 Only",1-22-56-20-01B,"Tidewater Contractors, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 1 Area 8 Only",1-22-56-20-01E,"Dan Palmer Trucking, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 1 Areas 3 and 9 Only",1-22-56-20-01C,"Thomas R. Bess, Inc. ",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 1 Areas 4, 5, 6 and 7 Only",1-22-56-20-01D,Granite Construction,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 10 Area 2 Only",1-22-56-20-10A,Blain Stumpf Trucking,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 11 Areas 1 and 2 Only",1-22-56-20-11,"Aggregate Products, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 2 Area 3 and 9 Only",1-22-56-20-02C,"Eagle Rock, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 2 Area 6 Only",1-22-56-20-02D,"Dan Palmer Trucking, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 2 Areas 1 and 4 Only",1-22-56-20-02A,"J.F. Shea Construction, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
