District,Ad #,FM Numbers,BDI,Short Description,Number of Contracts Awarded,Contract Threshold,Major Work Types,Minor Work Types,Under Utilized Work Groups,Contract Amount/Limit,Advertisement Date,Response Deadline Date/Time (*System Time Zone),Shortlist Selection Date,Final Selection Date,Selection Method,Standard Notes
1,23101,43264413206,No,DRAINAGE SUPPORT CONSULTANT-DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 3.2-Major Highway Design"," 2.0-Proj Development & Environmental (PD&E) Studies 
 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00 ",9/12/2022,9/26/2022 17:00,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
1,23104,43085223201,No,SAFETY STUDY & MINOR DESIGN CSC,1,Technically Prequalified & Unlimited Audit required, 6.1-Traffic Engineering Studies," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 6.2-Traffic Signal Timing 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization", GROUP 4-Highway Design - Bridges,"$5,000,000.00 ",9/12/2022,9/26/2022 17:00,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
1,23105," 44431613203 
 44432013203",No,RESURFACING-CSC,4,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 6.3.2-Intelligent Trans Systems Implementation 
 6.3.3-Intelligent Trans Traffic Engin. Communications 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 15.0-Landscape Architect",,"$5,000,000.00 ",1/30/2023,2/13/2023 17:00,3/7/2023,4/11/2023, Letter of Response and Interview, Standard Note 8 
1,23107,44893013201,Yes,SR 90 (US 41) FROM N OF THOMASSON DR TO S OF SOUTHWEST BLVD,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.2-Design, Right of Way, Construction Surveying",,"$1,270,974.00 ",8/15/2022,8/29/2022 17:00,9/20/2022,12/13/2022, Letter of Response and Interview, Standard Note 7 
1,23108,44892913201,Yes,SR 29 FROM N OF WAGON WHEEL RD TO S OF I-75,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.2-Design, Right of Way, Construction Surveying",,"$1,056,491.00 ",8/15/2022,8/29/2022 17:00,9/20/2022,12/13/2022, Letter of Response and Interview, Standard Note 7 
1,23113," 44897313201 
 44897313202",No,SR 15 (US 98) FROM SE 30TH TERR TO MARTIN COUNTY LINE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,595,941.00 ",8/22/2022,9/6/2022 17:00,9/27/2022,11/1/2022, Letter of Response and Interview, Standard Note 8 
1,23120," 19839126202 
 40458026202",No,MATERIALS & TESTING CEI SUPPORT-CONTINUING SERVICES CONTRACT,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies 
 10.3-Construction Materials Inspection"," 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 9-Soil Exploration, Material Testing, and Foundations 
 GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",9/19/2022,10/17/2022 17:00,11/8/2022,12/6/2022, Letter of Response and Abbreviated Technical Proposal," Standard Note 8  
 Standard Note 10  
 Standard Note 11  
 Standard Note 12"
1,23121,19828516207,No,CONSTRUCTION CEI SURVEY SUPPORT - DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying",,,"$1,500,000.00 ",2/6/2023,2/20/2023 17:00,3/14/2023,3/28/2023, Expanded Letter of Response, Standard Note 4 
1,23123,43372626201,No,SR 865 (SAN CARLOS) FROM N CRESCENT ST TO N OF HURRICANE,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,278,621.00 ",10/31/2022,12/13/2022 17:00,1/10/2023,1/24/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,23125,44155016201,No,SR 45 (US 41) FROM N OF PORT COMMONS TO STATE COLLEGE OF FL,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,148,278.00 ",10/10/2022,10/31/2022 17:00,11/15/2022,12/6/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
